MARCA,PROPRIETÁRIO,UF,CPF_CNPJ,P_operador,OPERADOR,UF,CPF_CNPJ,NOME FABRICANTE,MODELO,CATEGORIA,DATA TRANSF,DATA DE AQUISIÇÃO,GRAVAME,SITUAÇÃO DE AERONAVEGABILIDADE
PPOBM,CORPO DE BOMBEIROS MILITAR DO ESTADO DO RIO DE JANEIRO,RJ,28.176.998/0004-41,Bombeiros,CORPO DE BOMBEIROS MILITAR DO ESTADO DO RIO DE JANEIRO,RJ,28.176.998/0004-41,HELIBRAS,AS 350 B3,ADE,,20122018,,N
PPOPE,POLICIA MIL. DO EST.DO RIO DE JANEIRO,RJ,42.498.725/0003-63,PMERJ,POLICIA MIL. DO EST.DO RIO DE JANEIRO,RJ,42.498.725/0003-63,HELIBRAS,AS 350 B3,ADE,12/27/2013,19122013,,N
PPSES,SECRETARIA DE ESTADO DE SAUDE - SES,RJ,42.498.717/0001-55,Bombeiros,CORPO DE BOMB.MIL.DO ESTADO DO RJ,RJ,28.176.998/0004-41,EUROCOPTER FRANCE,AS 355 NP,ADE,4/16/2013,19122012,,S7
PRCOE,SECRETARIA DE ESTADO DE SEG.PUBLICA-RJ,RJ,42.498.725/0001-00,Seg. Pública,SECRETARIA DE ESTADO DE SEG.PUBLICA-RJ,RJ,42.498.725/0001-00,BELL HELICOPTER,UH-1H II,ADE,,4022011,,N
PREBM,SEDEC-CORPO DE BOMBEIROS MIL.EST.RJ,RJ,28.176.998/0001-07,Bombeiros,SEDEC-CORPO DE BOMBEIROS MIL.EST.RJ,RJ,28.176.998/0001-07,AIR TRACTOR,AT-802,ADE,9/1/2003,,,C18
PREPC,RIO DE JANEIRO SEC.DE EST.DE SEG.PUB,RJ,42.498.725/0001-00,Seg. Pública,RIO DE JANEIRO SEC.DE EST.DE SEG.PUB,RJ,42.498.725/0001-00,HELIBRAS,AS 350 B3,ADE,1/23/2007,29122006,,S8
PREPM,POLICIA MIL.DO EST.DO R.DE JANEIRO,RJ,42.498.725/0003-63,PMERJ,POLICIA MIL.DO EST.DO R.DE JANEIRO,RJ,42.498.725/0003-63,HELIBRAS,AS 350 B2,ADE,3/20/2006,2032006,,C18
PRERJ,SUBSECRETARIA MILITAR DA CASA CIVIL,RJ,16.481.961/0001-03,Subsecretaria ,SUBSECRETARIA ADJ. DE OPERACOES AEREAS,RJ,16.481.961/0001-03,EUROCOPTER DEUTSCHLAND,EC 135T2+,ADE,7/2/2009,5062009,CESSÃO DE USO,N
PRFEC,RIO DE JANEIRO SEC.EST.DE SEG.PUBLIC,RJ,42.498.725/0001-00,Seg. Pública,RIO DE JANEIRO SEC.EST.DE SEG.PUBLIC,RJ,42.498.725/0001-00,BELL HELICOPTER,UH-1H II,ADE,12/8/2008,,,N
PRGRJ,SUBSECRETARIA MILITAR DA CASA CIVIL,RJ,16.481.961/0001-03,Subsecretaria ,SUBSECRETARIA ADJ. DE OPERACOES AEREAS,RJ,16.481.961/0001-03,AGUSTA,AW109SP,ADE,,3122012,,N
PRLLM,RJ SSP POLICIA MILITAR DO ESTADO DO RIO DE JANEIRO,RJ,42.498.725/0003-63,PMERJ,RJ SSP POLICIA MILITAR DO ESTADO DO RIO DE JANEIRO,RJ,42.498.725/0003-63,EUROCOPTER FRANCE,AS 350 B3,ADE,3/11/2019,19022019,,N
PRPMR,SEC.DE EST. DE SEG.PUB.DO RIO DE JANEIRO,RJ,42.498.725/0001-00,PMERJ,POL.MIL.DO EST.DO R.DE JANEIRO-PMERJ,RJ,42.498.725/0003-63,EUROCOPTER DEUTSCHLAND,BK 117 C-2,ADE,3/8/2016,19012016,CESSÃO DE USO,S8
PRRJJ,SUBSECRETARIA MILITAR DA CASA CIVIL,RJ,16.481.961/0001-03,Subsecretaria ,SUBSECRETARIA ADJ. DE OPERACOES AEREAS,RJ,16.481.961/0001-03,EUROCOPTER FRANCE,AS 355 NP,ADE,12/29/2012,,,N
